jobId,Job Type,State,Start Time,Duration
bquijob_48419f5b_152eb01ec84,query,SUCCESS,16 Feb 16:55:18,0:00:02
bquijob_35539c74_152eb016926,query,SUCCESS,16 Feb 16:54:44,0:00:08
job_TKa-JOxwQbMlcZd6OORF5WJ3bUw,query,SUCCESS,12 Jan 12:10:26,0:00:13
job_YDgmwILteGQ6pYuATcjJ0T1qelE,query,SUCCESS,12 Jan 12:08:25,0:00:11
job_I3GSGrYpBOWYnQTEnvH6x-FtEjc,query,SUCCESS,12 Jan 12:07:31,0:00:00
job_9Ovfi3qUM2hHfcpgLGPuhstlORo,query,SUCCESS,12 Jan 12:00:07,0:00:28
job_SxrwdQrQgYmoNl2EFE0dRBn9juw,query,FAILURE,12 Jan 11:58:58,0:00:16
job_-8ft6ydAmzpT9Wfe3GSH07AcTeU,query,FAILURE,12 Jan 11:58:46,0:00:01
job__a1p5uAmeutVNJ_amFAe8WA8h7U,query,SUCCESS,12 Jan 11:57:15,0:00:31
job_iJ7-6ao99jh5l41uipeuA0ZJt2k,query,SUCCESS,12 Jan 11:54:32,0:00:12
job_RYpADdaprDBfuqfNq9U2UJP01w8,query,SUCCESS,12 Jan 11:51:43,0:00:06
job_Eb-NB9fkdM5R5m9eCoLece3VQCE,query,FAILURE,12 Jan 11:51:32,0:00:01
job_RfzWnt6hIMn6f56Ebt3pdhyFPnQ,query,FAILURE,12 Jan 11:51:24,0:00:00
job_VMZ_8NTvuLjjKovh6pC1C7c3RPY,query,FAILURE,12 Jan 11:51:16,0:00:00
job_EWmqvspvRd_Nl7t_Q1lyoGW09vw,query,SUCCESS,07 Jan 10:07:00,0:00:00
job_dMFmZVkCtu8qZ6ruehhbINvjczQ,query,SUCCESS,07 Jan 10:06:52,0:00:00
job_UkGwygXOaX6ZCAQZymodTQAWdZc,query,SUCCESS,06 Jan 10:21:15,0:00:07
job_607MKMLSGQs6dksa2tvZSgky2bc,query,SUCCESS,06 Jan 10:19:08,0:00:04
job_fZY8Pw5Bt36MJ_Mt5-Ehme3jMFw,query,SUCCESS,06 Jan 10:16:11,0:00:05
job_fVwwi7zQjfVFyoxHorwSvUkXyRI,query,SUCCESS,06 Jan 10:14:43,0:00:05
job_7hV9ne9a2Ej-OvXWWVRdiKambHY,query,SUCCESS,06 Jan 10:12:55,0:00:05
job_rPCL2O1ibLE_8aqGWjfEFCaSZdI,query,SUCCESS,06 Jan 10:10:17,0:00:06
job_0Y5_r5lLAHE_A1bksXU8w7xUugA,query,SUCCESS,06 Jan 09:13:29,0:00:11
job_Im08xXv73PmY-EyyYafUtfBg7TQ,query,SUCCESS,05 Jan 12:11:41,0:00:04
job_gwv8qqv_OC5XS_BDS8TrIDvh2vg,query,SUCCESS,05 Jan 12:10:34,0:00:03
job_ujdyy5ISlQ7x2QHMAu_4-FBASa8,query,FAILURE,05 Jan 12:10:22,0:00:01
job_gxSIMwAgyoO0Ph5QOEzkaV88jDI,query,FAILURE,05 Jan 12:10:05,0:00:00
job_VzPvrNpBLDV3T5B-N6yOb1KSfvc,query,FAILURE,05 Jan 12:09:57,0:00:00
job__mzzF4fUZL8LGgIA-W0BMoBz6T0,query,SUCCESS,05 Jan 12:00:31,0:00:34
job_Nd9ajQzzQJBmF982ZQHxN_QCz6Y,query,SUCCESS,05 Jan 11:57:26,0:00:03
job_WzcXAWjVc4X7kOgbvn3IQhhC3so,query,FAILURE,05 Jan 11:56:51,0:00:21
job_tsfyu93nW5v-Pidlf4LAlb-DLfo,query,FAILURE,05 Jan 11:55:10,0:00:23
job_e60_VU8Pr9A0vMo3jkPbq2LMnXc,query,SUCCESS,05 Jan 11:30:13,0:00:18
job_A262vcUnpvOJyh5tgvdidzvIYRc,query,SUCCESS,05 Jan 11:00:40,0:00:18
job_TQ-e8tQV2FicF8bj81CADJo07EU,query,SUCCESS,05 Jan 10:49:36,0:00:22
job_dHAM6K9BTRLZ49b8I1Onu7bdMR4,query,SUCCESS,05 Jan 10:49:00,0:00:20
job_P3HNCaiydPeJIcFINm6SixDP4Ts,query,FAILURE,05 Jan 10:48:45,0:00:00
